tns_name,previous_name,repeater_name,snr_fitb,dm_fitb,dm_fitb_err,flux,flux_err,flux_notes,fluence,fluence_err,fluence_notes
FRB20181104B,-9999,FRB20180916B,18.6,350.1,0.2,0.3,0.3,-9999,4,1,-9999
FRB20181104C,-9999,-9999,101.3,580.8176,0.0005,10,3,-9999,21,6,-9999
FRB20181104C,-9999,-9999,101.3,580.8176,0.0005,10,3,-9999,21,6,-9999
FRB20181115A,-9999,-9999,25.2,981.61,0.02,0.4,0.2,-9999,1.9,0.5,-9999
FRB20181116A,-9999,-9999,35.9,355.433,0.002,4,1,-9999,5.2,0.9,-9999
FRB20181116B,-9999,-9999,25.8,409.88,0.02,0.7,0.2,-9999,1.9,0.4,-9999
FRB20181117C,-9999,-9999,36,1773.739,0.001,1.6,0.5,-9999,3,1,-9999
FRB20181117A,-9999,-9999,13.5,959.28,0.02,0.6,0.5,-9999,3,2,-9999
FRB20181117B,-9999,-9999,18.9,538.2,0.008,4,3,-9999,11,7,-9999
FRB20181117B,-9999,-9999,18.9,538.2,0.008,4,3,-9999,11,7,-9999
FRB20181118A,-9999,-9999,13.9,557.407,0.008,4,2,-9999,10,5,-9999
FRB20181118B,-9999,-9999,19.5,422.277,0.009,0.8,0.5,-9999,3,2,-9999
FRB20181118C,-9999,FRB20180814A,17.8,190.17,0.04,0.3,0.2,-9999,1.7,0.7,-9999
FRB20181119B,-9999,-9999,150.9,609.101,0.005,5,2,-9999,90,40,-9999
FRB20181119E,-9999,-9999,11.3,1169.77,0.02,0.7,0.4,-9999,2,1,-9999
FRB20181119D,FRB121102,FRB20121102A,41.8,564.37,0.04,0.5,0.3,-9999,13,5,-9999
FRB20181119D,FRB121102,FRB20121102A,41.8,564.37,0.04,0.5,0.3,-9999,13,5,-9999
FRB20181119D,FRB121102,FRB20121102A,41.8,564.37,0.04,0.5,0.3,-9999,13,5,-9999
FRB20181119A,181119.J12+65,FRB20181119A,21.8,364.1,0.1,0.3,0.2,-9999,4,1,-9999
