"frb_name","utc","telescope","rop_receiver","rop_backend","rop_beam","rop_beam_semi_major_axis","rop_beam_semi_minor_axis","rop_beam_rotation_angle","rop_raj","rop_decj","rop_gl","rop_gb","rop_sampling_time","rop_bandwidth","rop_centre_frequency","rop_npol","rop_bits_per_sample","rop_gain","rop_tsys","rop_mw_dm_limit","rop_galactic_electron_model","rmp_dm","rmp_width","rmp_snr","rmp_flux","rmp_dm_index","rmp_scattering_index","rmp_scattering","rmp_scattering_model","rmp_scattering_timescale","rmp_linear_poln_frac","rmp_circular_poln_frac","rmp_spectral_index","rmp_rm","rmp_redshift_host","rmp_dispersion_smearing"
"FRB180817.J1533+42","2018/08/17 01:49:20.202","CHIME/FRB","CHIME/FRB","","null","12.8","9.6","0","15:33","+42:12","68","54","0.983","400","600","2","null","null","null","28","NE2001","1006.84&plusmn0.002","0.37","69.9","null","null","null","8.7&plusmn0.2","one-sided exponential at 600 MHz","null","null","null","null","null","null","null"
"FRB180814.J1554+74","2018/08/14 14:20:14.440","CHIME/FRB","CHIME/FRB","","null","34.4","17.4","0","15:54","+74:01","108","37","0.983","400","600","2","null","null","null","41","NE2001","238.32&plusmn0.01","0.18","29.7","null","null","null","2.4&plusmn0.3","one-sided exponential at 600 MHz","null","null","null","null","null","null","null"
"FRB180814.J0422+73","2018/08/14 14:49:48.022","CHIME/FRB","CHIME/FRB","","null","33.8","11.5","0","04:22","+73:44","136","16","0.983","400","600","2","null","null","null","87","NE2001","189.38&plusmn0.09","2.6","24","null","null","null","null","null","null","null","null","null","null","null","null"
"FRB180812.J0112+80","2018/08/12 11:45:32.872","CHIME/FRB","CHIME/FRB","","null","59.2","11.4","0","01:12","+80:47","123","18","0.983","400","600","2","null","null","null","83","NE2001","802.57&plusmn0.04","1.25","19.8","null","null","null","1.9&plusmn0.4","one-sided exponential at 600 MHz","null","null","null","null","null","null","null"
"FRB180810.J1159+83","2018/08/10 22:40:42.493","CHIME/FRB","CHIME/FRB","","null","79","11.4","0","11:59","+83:07","125","34","0.983","400","600","2","null","null","null","47","NE2001","169.134&plusmn0.002","0.28","56.7","null","null","null","null","null","null","null","null","null","null","null","null"
"FRB180810.J0646+34","2018/08/10 17:28:54.614","CHIME/FRB","CHIME/FRB","","null","11.5","9.9","0","06:46","+34:52","180","14","0.983","400","600","2","null","null","null","104","NE2001","414.95&plusmn0.02","0.27","17.7","null","null","null","null","null","null","null","null","null","null","null","null"
"FRB180806.J1515+75","2018/08/06 14:13:03.107","CHIME/FRB","CHIME/FRB","","null","38.2","16.8","0","15:15","+75:38","112","38","0.983","400","600","2","null","null","null","41","NE2001","739.98&plusmn0.03","0.69","17.5","null","null","null","3.6&plusmn0.8","one-sided exponential at 600 MHz","null","null","null","null","null","null","null"
"FRB180801.J2130+72","2018/08/01 08:47:14.793","CHIME/FRB","CHIME/FRB","","null","31.9","10.5","0","21:30","+72:43","109","15","0.983","400","600","2","null","null","null","90","NE2001","656.2&plusmn0.03","0.51","41.1","null","null","null","5&plusmn0.3","one-sided exponential at 600 MHz","null","null","null","null","null","null","null"
"FRB180730.J0353+87","2018/07/30 03:37:25.937","CHIME/FRB","CHIME/FRB","","null","194","13.2","0","03:53","+87:12","125","25","0.983","400","600","2","null","null","null","57","NE2001","849.047&plusmn0.002","0.42","92.4","null","null","null","1.99&plusmn0.05","one-sided exponential at 600 MHz","null","null","null","null","null","null","null"
"FRB180729.J1316+55","2018/07/29 00:48:19.238","CHIME/FRB","CHIME/FRB","","null","null","null","0","13:16","+55:32","115","61","0.983","400","600","2","null","null","null","31","NE2001","109.61&plusmn0.002","0.12","243.1","null","null","null","null","null","null","null","null","null","null","null","null"
