tns_name,previous_name,repeater_name,ra,ra_err,ra_notes,dec,dec_err,dec_notes,gl,gb,exp_up,exp_up_err,exp_up_notes,exp_low,exp_low_err,exp_low_notes,bonsai_snr,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,snr_fitb,dm_fitb,dm_fitb_err,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,scat_time_err,flux,flux_err,flux_notes,fluence,fluence_err,fluence_notes,sub_num,mjd_400,mjd_400_err,mjd_inf,mjd_inf_err,width_fitb,width_fitb_err,sp_idx,sp_idx_err,sp_run,sp_run_err,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,excluded_flag
FRB20180908B,180908.J1232+74,FRB20180908B,188.2,0.3,-9999,74.2,0.3,-9999,124.66,42.88,40.0,20.0,-9999,20.0,20.0,-9999,11.3,197.3,42.2,6.6,81.3,11.9,30.2,195.239,0.006,157.0,164.6,0.00786,<0.0021,-9999,1.2,0.5,-9999,5.0,2.0,-9999,0,58369.884074803,4e-09,58369.884016257,4e-09,0.00188,9e-05,54.0,6.0,-72.0,7.0,698.5,488.3,584.1,315464.399,312506,0.498,0
FRB20180909A,-9999,-9999,123.6,0.2,-9999,56.8,0.2,-9999,160.94,33.67,20.0,10.0,-9999,-9999,-9999,-9999,11,407.6,0,1.2,0,2.3,13.9,408.65,0.08,358.8,364.5,0.01966,<0.0082,-9999,0.3,0.2,-9999,1.0,0.4,-9999,0,58370.70598115,2e-08,58370.70585861,3e-08,0.0063,0.0009,0.0,1.0,-1.0,2.0,800.2,400.2,400.2,256401.455,256250,0.441,0
FRB20180910A,-9999,-9999,352.8,0.2,-9999,88.2,0.2,-9999,122.25,25.45,400.0,100.0,-9999,400.0,100.0,-9999,36.6,684.2,2.8,2.2,5.7,4.2,50.4,684.408,0.001,626.3,627.7,0.00098,0.00024,3e-05,7.0,3.0,-9999,6.0,3.0,-9999,0,58371.337577181,2e-09,58371.337371951,3e-09,0.0002,3e-05,0.0,0.5,-0.5,0.6,800.2,400.2,417.6,149900.203,147737,0.525,0
FRB20180911C,-9999,FRB20180814A,65.5,0.2,-9999,73.6,0.3,-9999,136.46,16.58,40.0,20.0,-9999,44.0,8.0,-9999,10.5,190.9,2.3,2.5,7.2,7.2,23.3,189.8,0.2,102.0,81.5,0.00688,<0.0039,-9999,1.0,0.5,-9999,6.0,2.0,-9999,0,58372.54116263,3e-08,58372.5411057,6e-08,0.0032,0.0003,70.0,10.0,-90.0,10.0,701.3,511.7,599.0,532091.517,527130,0.436,1
FRB20180911A,-9999,-9999,99.6,0.2,-9999,84.62,0.07,-9999,128.95,26.69,110.0,70.0,-9999,110.0,60,-9999,17.5,221.6,2.2,1.2,5.0,2.6,26.8,221.25,0.01,164.7,166.7,0.00197,<0.00094,-9999,2.0,1.0,-9999,3.0,2.0,-9999,0,58372.6252476504,9e-10,58372.625181304,4e-09,0.00083,5e-05,-6.0,1.0,0.0,2.0,599.9,400.2,400.2,163691.915,162026,0.479,1
FRB20180915A,-9999,-9999,280.6,0.2,-9999,17.9,0.3,-9999,48.01,10.04,13.0,7.0,-9999,-9999,-9999,-9999,13.4,370.4,0,7.9,0,15.4,16.3,371.03,0.01,199.1,224.9,0.00492,0.0009,0.0003,2.0,1.0,-9999,6.0,3.0,-9999,0,58376.127609445,4e-09,58376.127498187,5e-09,0.0008,0.0001,7.0,2.0,-9.0,3.0,800.2,400.2,571.9,272951.369,272377,0.562,0
FRB20180915B,-9999,-9999,225.2,0.2,-9999,25.0,0.2,-9999,36.17,60.93,13.0,8.0,-9999,-9999,-9999,-9999,12.5,176.3,0,2.4,0,4.2,36.1,177.13,0.02,154.7,154.1,0.00492,0.000111,8e-06,1.0,0.4,-9999,4.0,1.0,-9999,0,58376.975384589,2e-09,58376.975331475,6e-09,0.00169,7e-05,-9.0,1.0,3.0,3.0,527.4,400.2,400.2,278172.462,276025,0.557,0
FRB20180916A,-9999,-9999,349.0,0.2,-9999,80.33,0.06,-9999,118.82,18.23,70.0,40.0,-9999,80.0,30.0,-9999,21.4,296.0,7.6,2.9,15.2,5.9,32.5,296.028,0.002,217.6,206.0,0.00098,0.00019,2e-05,2.0,1.0,-9999,4.0,2.0,-9999,0,58377.31473946,2e-09,58377.314650692,2e-09,<0.00010,-9999,2.4,0.7,-8.0,1.0,793.2,400.2,464.7,141368.791,138009,0.557,0
FRB20180916B,180916.J0158+65,FRB20180916B,29.5031258,6e-07,RA from Marcote et al. (2020),65.7167542,6e-07,Dec from Marcote et al. (2020),129.71,3.73,46.06,0,No error on exposure due to precise position. See Section 2.2.,-9999,-9999,-9999,18.7,347.8,0,5.7,0,9.7,36.7,349.349,0.006,150.4,24.5,0.00393,0.0011,0.0002,1.8,0.7,-9999,6.0,2.0,-9999,0,58377.427312842,2e-09,58377.427208085,3e-09,0.00077,7e-05,58.0,6.0,-71.0,6.0,723.3,504.1,603.9,273337.62,271161,0.564,0
FRB20180916C,-9999,-9999,107.2,0.2,-9999,45.1,0.2,-9999,172.21,21.71,20.0,10.0,-9999,-9999,-9999,-9999,11.1,2248.3,0,3.5,0,6.8,15.6,2252.87,0.04,2179.0,2166.8,0.00983,<0.0051,-9999,0.4,0.3,-9999,2.0,1.0,-9999,0,58377.64329914,1e-08,58377.64262358,2e-08,0.0041,0.0005,50.0,10.0,-50.0,10.0,794.6,516.9,640.9,300158.038,299738,0.519,0
FRB20180917B,-9999,-9999,238.8,0.2,-9999,77.5,0.1,-9999,111.96,35.37,50.0,30.0,-9999,40.0,30.0,-9999,16.5,860.5,28.8,6.6,52.6,12.3,24.3,857.04,0.03,813.9,820.1,0.01966,0.007,0.001,1.0,0.5,-9999,8.0,3.0,-9999,0,58378.00620009,1e-08,58378.00594309,1e-08,0.0025,0.0005,2.0,1.0,-9.0,2.0,765.0,400.2,456.2,451759.045,445961,0.522,0
FRB20180917A,-9999,FRB20180814A,65.5,0.2,-9999,73.6,0.3,-9999,136.46,16.58,40.0,20.0,-9999,44.0,8.0,-9999,19,194.1,42.5,6.7,182.0,31.0,46.6,189.92,0.02,102.1,81.5,0.06095,0.008,0.003,3.0,3.0,-9999,50.0,30.0,-9999,0,58378.032385833,7e-09,58378.032328884,9e-09,0.0018,0.0003,30.0,20.0,-20.0,10.0,800.2,658.6,800.2,908712.749,904687,0.516,0
FRB20180917A,-9999,FRB20180814A,65.5,0.2,-9999,73.6,0.3,-9999,136.46,16.58,40.0,20.0,-9999,44.0,8.0,-9999,19,194.1,42.5,6.7,182.0,31.0,46.6,189.92,0.02,102.1,81.5,0.06095,0.008,0.003,3.0,3.0,-9999,50.0,30.0,-9999,1,58378.03238603,1e-08,58378.03232908,1e-08,0.0035,0.0004,52.0,8.0,-47.0,7.0,800.2,561.8,701.7,908712.749,904687,0.516,0
FRB20180917A,-9999,FRB20180814A,65.5,0.2,-9999,73.6,0.3,-9999,136.46,16.58,40.0,20.0,-9999,44.0,8.0,-9999,19,194.1,42.5,6.7,182.0,31.0,46.6,189.92,0.02,102.1,81.5,0.06095,0.008,0.003,3.0,3.0,-9999,50.0,30.0,-9999,2,58378.03238633,2e-08,58378.03232938,2e-08,0.008,0.002,60.0,10.0,-70.0,20.0,770.5,531.1,639.7,908712.749,904687,0.516,0
FRB20180918A,-9999,-9999,301.3,0.2,-9999,65.0,0.2,-9999,98.09,17.11,30.0,20.0,-9999,-9999,-9999,-9999,14,1454.1,0,3.4,0,6.0,24.4,1453.988,0.006,1374.0,1367.9,0.00295,0.0015,0.0003,1.4,0.6,-9999,4.0,1.0,-9999,0,58379.174621232,3e-09,58379.174185233,3e-09,0.0005,0.0001,13.0,3.0,-15.0,3.0,800.2,419.8,617.6,289525.913,289401,0.535,0
FRB20180919B,-9999,-9999,5.3,0.2,-9999,5.94,0.09,-9999,109.42,-56.14,11.0,7.0,-9999,-9999,-9999,-9999,16.1,558.0,0,1.0,0,2.4,18.8,560.221,0.007,527.4,536.0,0.00098,<0.00050,-9999,2.6,0.9,-9999,3.0,1.0,-9999,0,58380.353756028,1e-09,58380.353588037,2e-09,0.00041,5e-05,4.0,2.0,-11.0,3.0,768.9,400.2,487.6,140499.114,141050,0.547,0
FRB20180919A,-9999,FRB20180814A,65.5,0.2,-9999,73.6,0.3,-9999,136.46,16.58,40.0,20.0,-9999,44.0,8.0,-9999,13.4,190.9,42.5,6.7,182.0,31.0,14.6,188.8,0.3,101.0,80.5,0.02163,<0.0045,-9999,0.6,0.3,-9999,3.0,1.0,-9999,0,58380.52513717,1e-08,58380.52508054,8e-08,0.0038,0.0004,28.0,8.0,-180.0,50.0,484.6,400.2,432.6,442868.506,441402,0.527,0
FRB20180920A,-9999,-9999,78.9,0.2,-9999,28.3,0.2,-9999,176.92,-5.87,11.0,7.0,-9999,-9999,-9999,-9999,13.5,562.9,0,11.1,0,21.8,20.2,555.7,0.2,394.9,324.9,0.01475,0.009,0.001,0.9,0.6,-9999,8.0,5.0,-9999,0,58381.55528837,3e-08,58381.55512175,6e-08,0.0022,0.0008,20.0,4.0,-26.0,5.0,787.4,435.9,585.9,884341.437,880985,0.528,0
FRB20180920B,-9999,-9999,191.1,0.2,-9999,63.5,0.2,-9999,124.26,53.59,20.0,20.0,-9999,-9999,-9999,-9999,10.5,459.4,0,1.1,0,2.1,15.8,463.4,0.3,430.2,438.3,0.01081,0.0017,0.0004,0.4,0.2,-9999,1.7,0.5,-9999,0,58381.86207564,1e-08,58381.86193669,8e-08,0.0023,0.0006,12.0,5.0,-120.0,40.0,483.4,400.2,421.1,432568.567,431369,0.538,0
FRB20180921A,-9999,-9999,28.9,0.2,-9999,5.1,0.3,-9999,151.09,-54.27,11.0,8.0,-9999,-9999,-9999,-9999,10.3,393.1,0,1.1,0,3.8,11.1,394.37,0.02,359.2,368.4,0.00393,<0.0015,-9999,0.9,0.4,-9999,2.0,2.0,-9999,0,58382.412533746,4e-09,58382.412415488,7e-09,0.0011,0.0002,1.0,2.0,-10.0,5.0,672.2,400.2,419.9,279028.153,279066,0.552,0
FRB20180922A,-9999,-9999,342.3,0.2,-9999,69.67,0.06,-9999,112.62,9.29,30.0,20.0,-9999,-9999,-9999,-9999,24.5,562.9,0,3.0,0,6.2,32.4,555.69,0.01,414.4,341.5,0.00295,0.00031,5e-05,3.0,2.0,-9999,8.0,5.0,-9999,0,58383.276789027,2e-09,58383.276622396,4e-09,0.00081,8e-05,-4.0,1.0,-9.0,4.0,555.9,400.2,400.2,302315.045,340473,0.453,0
FRB20180923A,-9999,-9999,327.61,0.04,-9999,71.9,0.2,-9999,109.81,13.83,40.0,20.0,-9999,20.0,20.0,-9999,16.1,218.4,12.2,1.3,23.8,2.6,24.3,219.44,0.006,119.4,92.2,0.00197,0.00021,4e-05,0.8,0.5,-9999,1.2,0.7,-9999,0,58384.238085635,2e-09,58384.238019833,3e-09,0.0001,0.0001,18.0,2.0,-57.0,7.0,572.9,400.2,468.9,163961.351,163545,0.475,0
FRB20180923D,-9999,-9999,169.08,0.02,-9999,48.75,0.07,-9999,156.94,61.62,20.0,8.0,-9999,-9999,-9999,-9999,48.1,328.4,0,0.9,0,1.0,91,329.4,0.002,298.7,308.7,0.00098,0.000114,6e-06,2.0,1.0,-9999,2.0,1.0,-9999,0,58384.7964305098,3e-10,58384.7963317345,6e-10,<0.00010,-9999,20.9,0.8,-93.0,3.0,524.4,400.2,448.0,167150.173,162937,0.477,0
FRB20180923C,-9999,-9999,239.14,0.04,-9999,22.9,0.2,-9999,37.67,48.06,13.0,7.0,-9999,-9999,-9999,-9999,15,173.1,0,1.0,0,1.3,17.7,173.984,0.007,144.9,146.5,0.00197,0.0005,9e-05,0.9,0.5,-9999,1.4,0.5,-9999,0,58384.991255929,4e-09,58384.991203757,4e-09,0.0003,0.0001,1.0,2.0,-10.0,3.0,675.6,400.2,420.5,325038.302,322841,0.481,0
FRB20180924A,-9999,-9999,35.5,0.2,-9999,37.5,0.2,-9999,142.12,-21.96,16.0,8.0,-9999,-9999,-9999,-9999,18.2,1114.5,0,2.8,0,4.9,21.4,1116.546,0.003,1047.3,1049.0,0.00295,<0.00099,-9999,1.3,0.5,-9999,3.0,1.0,-9999,0,58385.422759502,3e-09,58385.42242469,3e-09,0.00087,6e-05,7.0,2.0,-5.0,2.0,800.2,400.2,770.6,287463.174,286362,0.54,0
FRB20180925A,-9999,-9999,74.9,0.2,-9999,78.0,0.3,-9999,134.29,21.05,60.0,30.0,-9999,50.0,30.0,-9999,11.3,236.2,33.6,8,68.1,15.7,13.7,237.74,0.05,167.1,159.0,0.01475,<0.0060,-9999,1.0,0.8,-9999,9.0,4.0,-9999,0,58386.53006032,2e-08,58386.52998903,2e-08,0.0045,0.0007,-1.0,2.0,4.0,2.0,800.2,400.2,800.2,398511.617,397626,0.574,0
FRB20180925B,-9999,-9999,145.5,0.2,-9999,20.99,0.09,-9999,210.38,46.52,10.0,8.0,-9999,-9999,-9999,-9999,12,668.0,0,3.1,0,5.6,16.1,667.87,0.01,628.2,637.4,0.0059,<0.0014,-9999,0.8,0.5,-9999,3.0,1.0,-9999,0,58386.727076656,6e-09,58386.726876386,7e-09,0.0012,0.0001,15.0,3.0,-42.0,6.0,606.9,400.2,479.6,261962.202,259610,0.583,0
FRB20180928A,-9999,-9999,312.95,0.04,-9999,30.85,0.05,-9999,74.23,-8.58,12.0,5.0,-9999,-9999,-9999,-9999,37.7,250.7,0,1.0,0,1.1,66,252.768,0.005,94.7,135.9,0.00295,0.000147,7e-06,1.3,0.6,-9999,3.0,1.0,-9999,0,58389.183697977,2e-09,58389.183622181,2e-09,0.00027,3e-05,-3.0,1.0,-40.0,6.0,492.1,400.2,400.2,159235.574,154121,0.505,1
FRB20181012B,-9999,-9999,206.3,0.2,-9999,64.15,0.07,-9999,113.44,51.97,20.0,20.0,-9999,-9999,-9999,-9999,11.8,713.3,0,2.1,0,3.8,16.1,715.19,0.04,681.7,689.4,0.00393,0.00026,7e-05,0.5,0.3,-9999,1.4,0.5,-9999,0,58403.848921939,5e-09,58403.84870748,1e-08,0.0006,0.0002,21.0,7.0,-150.0,40.0,483.9,400.2,428.3,334457.291,335001,0.462,0
FRB20181013A,-9999,-9999,262.8,0.2,-9999,38.4,0.2,-9999,63.25,31.48,17.0,7.0,-9999,-9999,-9999,-9999,25.6,308.9,0,1.6,0,2.8,31.4,309.305,0.002,261.2,270.7,0.00098,<0.00056,-9999,2.8,0.9,-9999,4.0,1.0,-9999,0,58404.003125997,3e-09,58404.003033247,3e-09,0.00051,2e-05,1.1,0.7,-5.0,1.0,800.2,400.2,443.7,141833.644,140442,0.549,0
FRB20181013E,-9999,-9999,307.3,0.2,-9999,69.0,0.2,-9999,102.99,17.1,30.0,20.0,-9999,-9999,-9999,-9999,10.7,344.5,0,1.4,0,2.7,12.8,345.3,0.02,264.5,256.0,0.00295,<0.0011,-9999,0.6,0.2,-9999,2.0,0.5,-9999,0,58404.122485257,7e-09,58404.122381714,9e-09,0.0009,0.0001,-6.0,2.0,1.0,5.0,623.0,400.2,400.2,319659.367,319194,0.487,0
FRB20181013B,-9999,-9999,97.2,0.2,-9999,52.0,0.2,-9999,162.93,17.78,20,10.0,-9999,-9999,-9999,-9999,11.7,284.7,0,19.2,0,38.2,29.9,277.51,0.07,191.7,173.0,0.11993,0.066,0.006,0.6,0.5,-9999,20.0,10.0,-9999,0,58404.54018734,2e-08,58404.54010413,3e-08,0.003,0.001,-0.5,0.7,-4.0,1.0,790.4,400.2,400.2,4069660.806,4061225,0.552,0
FRB20181013C,-9999,-9999,146.1,0.2,-9999,34.1,0.2,-9999,191.21,49.48,13.0,8.0,-9999,-9999,-9999,-9999,12.6,1004.5,0,1.3,0,2.5,15.1,1005.77,0.01,967.2,980.1,0.00492,0.00044,9e-05,0.4,0.3,-9999,1.6,0.9,-9999,0,58404.679994186,7e-09,58404.679692592,8e-09,0.0008,0.0002,-4.0,2.0,-1.0,3.0,698.0,400.2,400.2,261701.004,262649,0.578,0
