,R,E,V
255,0.8195121951219512,0.5024390243902439,0.0833313503866746
256,0.697560975609756,0.5024390243902439,0.0833313503866746
257,0.2815533980582524,0.5024271844660194,0.08333136959185597
258,0.8985507246376812,0.5024154589371981,0.08333138851937423
259,0.5096153846153846,0.5024038461538461,0.08333140717455621
260,0.5885167464114832,0.5023923444976076,0.08333142556260159
261,0.5904761904761905,0.5023809523809524,0.08333144368858654
262,0.4238095238095238,0.5023809523809524,0.08333144368858654
263,0.052132701421800945,0.5023696682464455,0.08333146155746726
264,0.27488151658767773,0.5023696682464455,0.08333146155746726
265,0.6037735849056604,0.5023584905660378,0.0833314791740833
266,0.9907834101382489,0.5023041474654378,0.08333156363481918
267,0.9907834101382489,0.5023041474654378,0.08333156363481918
268,0.9907834101382489,0.5023041474654378,0.08333156363481918
269,0.9907834101382489,0.5023041474654378,0.08333156363481918
270,0.9907834101382489,0.5023041474654378,0.08333156363481918
271,0.9216589861751152,0.5023041474654378,0.08333156363481918
272,0.42660550458715596,0.5022935779816514,0.08333157983334737
273,0.8858447488584474,0.502283105022831,0.08333159581048491
274,0.7272727272727273,0.5022727272727273,0.08333161157024793
275,0.43891402714932126,0.502262443438914,0.0833316271165619
276,0.8513513513513513,0.5022522522522522,0.08333164245326408
277,0.9369369369369369,0.5022522522522522,0.08333164245326408
278,0.26905829596412556,0.5022421524663677,0.08333165758410585
279,0.9327354260089686,0.5022421524663677,0.08333165758410585
280,0.7162162162162162,0.5022522522522522,0.08333164245326408
281,0.4155251141552511,0.502283105022831,0.08333159581048491
282,0.6090909090909091,0.5022727272727273,0.08333161157024793
283,0.2545454545454545,0.5022727272727273,0.08333161157024793
284,0.7647058823529411,0.502262443438914,0.0833316271165619
285,0.2914798206278027,0.5022421524663677,0.08333165758410585
286,0.2914798206278027,0.5022421524663677,0.08333165758410585
287,0.875,0.5022321428571429,0.0833316725127551
288,0.8311111111111111,0.5022222222222222,0.08333168724279835
289,0.4311111111111111,0.5022222222222222,0.08333168724279835
290,0.40707964601769914,0.5022123893805309,0.08333170177774298
291,0.24669603524229075,0.5022026431718062,0.08333171612101924
292,0.6842105263157895,0.5021929824561403,0.08333173027598235
293,0.5152838427947598,0.5021834061135371,0.08333174424591445
294,0.5173913043478261,0.5021739130434782,0.08333175803402647
295,0.06060606060606061,0.5021645021645021,0.08333177164345995
296,0.7445887445887446,0.5021645021645021,0.08333177164345995
297,0.8398268398268398,0.5021645021645021,0.08333177164345995
298,0.42424242424242425,0.5021645021645021,0.08333177164345995
299,0.4260869565217391,0.5021739130434782,0.08333175803402647
300,0.645021645021645,0.5021645021645021,0.08333177164345995
301,0.8922413793103449,0.5021551724137931,0.08333178507728894
302,0.9656652360515021,0.5021459227467812,0.08333179833852161
303,0.6410256410256411,0.5021367521367521,0.08333181143010203
304,0.8382978723404255,0.502127659574468,0.08333182435491172
305,0.4194915254237288,0.5021186440677966,0.08333183711577133
306,0.7415254237288136,0.5021186440677966,0.08333183711577133
307,0.2489451476793249,0.5021097046413502,0.0833318497154421
308,0.8127659574468085,0.502127659574468,0.08333182435491172
309,0.2669491525423729,0.5021186440677966,0.08333183711577133
310,0.7637130801687764,0.5021097046413502,0.0833318497154421
311,0.42857142857142855,0.5021008403361344,0.08333186215662736
312,0.25210084033613445,0.5021008403361344,0.08333186215662736
313,0.9662447257383966,0.5021097046413502,0.0833318497154421
314,0.8781512605042017,0.5021008403361344,0.08333186215662736
315,0.2719665271966527,0.502092050209205,0.08333187444197405
316,0.9666666666666667,0.5020833333333333,0.08333188657407407
317,0.8257261410788381,0.5020746887966805,0.08333189855546565
318,0.4297520661157025,0.5020661157024794,0.08333191038863465
319,0.6502057613168725,0.5020576131687243,0.08333192207601596
320,0.8278688524590164,0.5020491803278688,0.08333193361999462
321,0.07346938775510205,0.5020408163265306,0.08333194502290713
322,0.2857142857142857,0.5020408163265306,0.08333194502290713
323,0.5650406504065041,0.5020325203252033,0.08333195628704254
324,0.9676113360323887,0.5020242914979757,0.08333196741464374
325,0.6491935483870968,0.5020161290322581,0.08333197840790843
326,0.8292682926829268,0.5020325203252033,0.08333195628704254
327,0.5587044534412956,0.5020242914979757,0.08333196741464374
328,0.7056451612903226,0.5020161290322581,0.08333197840790843
329,0.7862903225806451,0.5020161290322581,0.08333197840790843
330,0.41767068273092367,0.5020080321285141,0.08333198926899028
331,0.64,0.502,0.083332
332,0.6414342629482072,0.50199203187251,0.08333201060300631
333,0.12698412698412698,0.501984126984127,0.08333202108003696
334,0.3888888888888889,0.501984126984127,0.08333202108003696
335,0.6521739130434783,0.5019762845849802,0.08333203143307973
336,0.83399209486166,0.5019762845849802,0.08333203143307973
337,0.8814229249011858,0.5019762845849802,0.08333203143307973
338,0.9209486166007905,0.5019762845849802,0.08333203143307973
339,0.9960629921259843,0.5019685039370079,0.08333204166408333
340,0.2,0.5019607843137255,0.08333205177495835
341,0.203125,0.501953125,0.08333206176757812
342,0.27626459143968873,0.5019455252918288,0.08333207164377962
343,0.4108527131782946,0.501937984496124,0.08333208140536426
344,0.8764478764478765,0.5019305019305019,0.08333209105409878
345,0.4115384615384615,0.5019230769230769,0.08333210059171597
346,0.6436781609195402,0.5019157088122606,0.08333211001991554
347,0.2748091603053435,0.5019083969465649,0.08333211934036479
348,0.5551330798479087,0.5019011406844106,0.08333212855469936
349,0.4128787878787879,0.5018939393939394,0.08333213766452403
350,0.41132075471698115,0.5018867924528302,0.08333214667141332
351,0.8571428571428571,0.5018796992481203,0.0833321555769122
352,0.2209737827715356,0.50187265917603,0.08333216438253681
353,0.8860294117647058,0.5018382352941176,0.08333220696366782
354,0.39492753623188404,0.5018115942028986,0.08333223937548134
355,0.1371841155234657,0.5018050541516246,0.08333224725983657
356,0.2724014336917563,0.5017921146953405,0.08333226277497292
357,0.7785714285714286,0.5017857142857143,0.08333227040816327
358,0.26334519572953735,0.501779359430605,0.08333227796000557
359,0.9611307420494699,0.5017667844522968,0.08333229282423305
360,0.9303135888501742,0.5017421602787456,0.08333232162585438
361,0.04513888888888889,0.5017361111111112,0.08333232863940329
362,0.21575342465753425,0.5017123287671232,0.0833323559767311
363,0.1870748299319728,0.5017006802721088,0.08333236922887069
364,0.5,0.5016556291390728,0.08333241963071795
